Run 03,Run 03,Run 03,Run 03
UV1 (280 nm)_column_volume,UV1 (280 nm)_mAU,Baseline of UV1 (280 nm)_column_volume,Baseline of UV1 (280 nm)_mAU
0,0,0,-5.77000016346574
2.42851240931699E-05,0,2.42851240931699E-05,-5.77000016346574
4.5332216457857E-05,-5.4640001617372,4.5332216457857E-05,-5.77000016346574
6.63793242626052E-05,-5.4640001617372,6.63793242626052E-05,-5.77000016346574
8.14900643685626E-05,-5.46299992129207,8.14900643685626E-05,-5.77000016346574
9.76801419506555E-05,-5.46299992129207,9.76801419506555E-05,-5.77000016346574
0.000125742947210299,-5.46299992129207,0.000125742947210299,-5.77000016346574
0.000153266076011845,-5.46299992129207,0.000153266076011845,-5.77000016346574
0.000180789204813391,-5.46299992129207,0.000180789204813391,-5.77000016346574
0.000208312333614936,-5.4640001617372,0.000208312333614936,-5.77000016346574
0.000235835462416482,-5.46299992129207,0.000235835462416482,-5.77000016346574
0.000263898252236065,-5.46200014650822,0.000263898252236065,-5.77000016346574
0.000291421396477672,-5.4640001617372,0.000291421396477672,-5.77000016346574
0.000318944540719278,-5.4640001617372,0.000318944540719278,-5.77000016346574
0.000346467684960885,-5.46699995175004,0.000346467684960885,-5.77000016346574
0.000373990829202492,-5.46699995175004,0.000373990829202492,-5.77000016346574
0.000402053634462136,-5.46899996697903,0.000402053634462136,-5.77000016346574
0.000429576778703743,-5.47000020742416,0.000429576778703743,-5.77000016346574
0.00045709992294535,-5.47000020742416,0.00045709992294535,-5.77000016346574
0.000484623067186956,-5.47200022265315,0.000484623067186956,-5.77000016346574
0.000512146211428563,-5.472999997437,0.000512146211428563,-5.77000016346574
0.000540209016688207,-5.47599978744984,0.000540209016688207,-5.77000016346574
0.000567732160929814,-5.48500008881092,0.000567732160929814,-5.77000016346574
0.000595255243411176,-5.48999989405274,0.000595255243411176,-5.77000016346574
0.000622778325892538,-5.49900019541383,0.000622778325892538,-5.77000016346574
0.000650301470134145,-5.51499985158443,0.000650301470134145,-5.77000016346574
0.000678364275393789,-5.54100004956126,0.000678364275393789,-5.77000016346574
0.000705887419635396,-5.59299997985363,0.000705887419635396,-5.77000016346574
0.000733410502116758,-5.59299997985363,0.000733410502116758,-5.77000016346574
0.00076093358459812,-5.61900017783046,0.00076093358459812,-5.77000016346574
0.000788456728839727,-5.64200012013316,0.000788456728839727,-5.77000016346574
0.000816519534099371,-5.65900001674891,0.000816519534099371,-5.77000016346574
0.000844042678340978,-5.67199988290668,0.000844042678340978,-5.77000016346574
0.00087156576082234,-5.68100018426776,0.00087156576082234,-5.77000016346574
0.000899088843303702,-5.68700022995472,0.000899088843303702,-5.77000016346574
0.000926611987545308,-5.69200003519654,0.000926611987545308,-5.77000016346574
0.000954674792804952,-5.6980000808835,0.000954674792804952,-5.77000016346574
0.000982197937046559,-5.70000009611249,0.000982197937046559,-5.77000016346574
0.00100972101952792,-5.70099987089634,0.00100972101952792,-5.77000016346574
0.00103724416376953,-5.70400012657046,0.00103724416376953,-5.77000016346574
0.00106476724625089,-5.70299988612533,0.00106476724625089,-5.77000016346574
0.00109282998975029,-5.70299988612533,0.00109282998975029,-5.77000016346574
0.00112035307223165,-5.70000009611249,0.00112035307223165,-5.77000016346574
0.0011478762782335,-5.69699984043837,0.0011478762782335,-5.77000016346574
0.00117539948423535,-5.69400005042553,0.00117539948423535,-5.77000016346574
0.00120292256671672,-5.69000001996756,0.00120292256671672,-5.77000016346574
0.00123098531021612,-5.68700022995472,0.00123098531021612,-5.77000016346574
0.00125850839269748,-5.6839999742806,0.00125850839269748,-5.77000016346574
0.00128603159869933,-5.67799992859364,0.00128603159869933,-5.77000016346574
0.00131355480470118,-5.67100010812283,0.00131355480470118,-5.77000016346574
0.00134107788718254,-5.66700007766485,0.00134107788718254,-5.77000016346574
0.00136914063068194,-5.66100003197789,0.00136914063068194,-5.77000016346574
0.0013966637131633,-5.65700000151992,0.0013966637131633,-5.77000016346574
0.00142418691916516,-5.65499998629093,0.00142418691916516,-5.77000016346574
0.00145171012516701,-5.6520001962781,0.00145171012516701,-5.77000016346574
0.00147923320764837,-5.65000018104911,0.00147923320764837,-5.77000016346574
0.00150729595114777,-5.64699992537498,0.00150729595114777,-5.77000016346574
0.00153481903362913,-5.64000010490417,0.00153481903362913,-5.77000016346574
0.00156234223963098,-5.64000010490417,0.00156234223963098,-5.77000016346574
0.00158986544563283,-5.63899986445904,0.00158986544563283,-5.77000016346574
0.0016173885281142,-5.63699984923005,0.0016173885281142,-5.77000016346574
0.0016454512716136,-5.63800008967519,0.0016454512716136,-5.77000016346574
0.00167297435409496,-5.63800008967519,0.00167297435409496,-5.77000016346574
0.00170049756009681,-5.63400005921721,0.00170049756009681,-5.77000016346574
0.00172802076609866,-5.63400005921721,0.00172802076609866,-5.77000016346574
0.00175554384858002,-5.63299981877208,0.00175554384858002,-5.77000016346574
0.00178360659207942,-5.63099980354309,0.00178360659207942,-5.77000016346574
0.00181112967456078,-5.63200004398823,0.00181112967456078,-5.77000016346574
0.00183865288056264,-5.63200004398823,0.00183865288056264,-5.77000016346574
0.00186617608656449,-5.63299981877208,0.00186617608656449,-5.77000016346574
0.00189369916904585,-5.63299981877208,0.00189369916904585,-5.77000016346574
0.00192176191254525,-5.63299981877208,0.00192176191254525,-5.77000016346574
0.00194928499502661,-5.63499983400106,0.00194928499502661,-5.77000016346574
0.00197680820102846,-5.63499983400106,0.00197680820102846,-5.77000016346574
0.00200433140703031,-5.6360000744462,0.00200433140703031,-5.77000016346574
0.00203185448951168,-5.63299981877208,0.00203185448951168,-5.77000016346574
0.00205991723301107,-5.6289997883141,0.00205991723301107,-5.77000016346574
0.00208744043901293,-5.60999987646937,0.00208744043901293,-5.77000016346574
0.00211496352149429,-5.60999987646937,0.00211496352149429,-5.77000016346574
0.00214248660397565,-5.58800017461181,0.00214248660397565,-5.77000016346574
0.00217000968645701,-5.55799994617701,0.00217000968645701,-5.77000016346574
0.0021980725534769,-5.51000004634261,0.0021980725534769,-5.77000016346574
0.00222559563595826,-5.36199985072017,0.00222559563595826,-5.77000016346574
0.00225311871843963,-5.36199985072017,0.00225311871843963,-5.77000016346574
0.00228064180092099,-5.25599997490644,0.00228064180092099,-5.77000016346574
0.00230816488340235,-5.12599991634488,0.00230816488340235,-5.77000016346574
0.00233622775042224,-4.98099997639656,0.00233622775042224,-5.77000016346574
0.0023637508329036,-4.61999978870153,0.0023637508329036,-5.77000016346574
0.00239127391538496,-4.61999978870153,0.00239127391538496,-5.77000016346574
0.00241879699786632,-4.39999997615814,0.00241879699786632,-5.77000016346574
0.00244632008034769,-4.15199995040894,0.00244632008034769,-5.77000016346574
0.00247438294736758,-3.86700010858476,0.00247438294736758,-5.77000016346574
0.00250190602984894,-3.28899989835918,0.00250190602984894,-5.77000016346574
0.0025294291123303,-3.28899989835918,0.0025294291123303,-5.77000016346574
0.00255695219481166,-3.01999994553626,0.00255695219481166,-5.77000016346574
0.00258447527729302,-2.75099999271333,0.00258447527729302,-5.77000016346574
0.00261253814431291,-2.49599991366267,0.00261253814431291,-5.77000016346574
0.00264006122679427,-2.02100002206862,0.00264006122679427,-5.77000016346574
0.00266758430927564,-2.02100002206862,0.00266758430927564,-5.77000016346574
0.002695107391757,-1.79200002457947,0.002695107391757,-5.77000016346574
0.00272263047423836,-1.57399999443442,0.00272263047423836,-5.77000016346574
0.00275069334125825,-1.35200005024672,0.00275069334125825,-5.77000016346574
0.00277821642373961,-0.877999991644174,0.00277821642373961,-5.77000016346574
0.00280573950622097,-0.877999991644174,0.00280573950622097,-5.77000016346574
0.00283326258870234,-0.633999996352941,0.00283326258870234,-5.77000016346574
0.0028607856711837,-0.371000001905486,0.0028607856711837,-5.77000016346574
0.00288884853820359,-0.117000003228895,0.00288884853820359,-5.77000016346574
0.00291637162068495,0.369999994290993,0.00291637162068495,-5.77000016346574
0.00294389470316631,0.369999994290993,0.00294389470316631,-5.77000016346574
0.00297141778564767,0.628000008873641,0.00297141778564767,-5.77000016346574
0.00299894086812904,0.901999999769032,0.00299894086812904,-5.77000016346574
0.00302700373514892,1.15599995478988,0.00302700373514892,-5.77000016346574
0.00305452681763029,1.61499995738268,0.00305452681763029,-5.77000016346574
